individualCount,decimalLatitude,decimalLongitude,vernacularName
1,43.14932,-64.97197,WHALE-HUMPBACK
5,43.07649,-65.25317,DOLPHINS (NS)
1,45.28629,-60.36907,SEATURTLE-LEATHERBACK
1,43.14136,-63.00955,OCEAN SUNFISH
1,43.01182,-64.55952,DOLPHINS (NS)
1,42.75833,-64.04345,OCEAN SUNFISH
1,42.80165,-65.39629,OCEAN SUNFISH
1,42.6868,-64.79109,OCEAN SUNFISH
1,43.0252,-65.08343,SHARK-BASKING
1,43.15614,-64.68325,OCEAN SUNFISH
1,42.97154,-64.51418,OCEAN SUNFISH
8,42.82289,-63.63397,DOLPHINS-WHITE-SIDED
1,42.32497,-66.89778,SHARK-BASKING
1,43.19732,-63.28673,WHALE-HUMPBACK
2,43.84332,-63.03246,WHALE-HUMPBACK
100,42.87298,-64.38517,DOLPHINS (NS)
2,42.75124,-65.19085,DOLPHINS (NS)
1,42.61413,-64.68423,OCEAN SUNFISH
1,43.01003,-64.5575,OCEAN SUNFISH
2,43.97543,-63.01938,OCEAN SUNFISH
2,42.892,-65.68101,PORPOISE-HARBOUR
1,42.62967,-65.5571,OCEAN SUNFISH
1,43.24072,-62.81469,OCEAN SUNFISH
1,42.76615,-64.04352,OCEAN SUNFISH
15,43.0245,-64.04902,DOLPHINS-WHITE-SIDED
1,42.85943,-63.30511,CETACEAN (NS)
1,43.50491,-63.74729,SHARK-BASKING
1,43.06399,-65.0557,OCEAN SUNFISH
3,42.82519,-64.85215,CETACEAN (NS)
50,43.52246,-63.24011,CETACEAN (NS)
2,44.02089,-63.4971,OCEAN SUNFISH
1,43.85883,-63.8604,OCEAN SUNFISH
1,43.74628,-64.09576,OCEAN SUNFISH
2,43.84999,-63.52744,OCEAN SUNFISH
50,43.98265,-63.05778,DOLPHINS-COMMON
7,42.81266,-65.3459,CETACEAN (NS)
1,43.34156,-63.87964,OCEAN SUNFISH
2,43.96103,-63.03036,DOLPHINS (NS)
30,42.50978,-64.53128,DOLPHINS-WHITE-SIDED
1,43.99282,-63.49682,OCEAN SUNFISH
1,43.18741,-65.0796,SHARK-BASKING
1,42.7532,-65.38886,OCEAN SUNFISH
40,43.10208,-65.43215,DOLPHINS (NS)
12,42.8423,-64.87362,DOLPHINS-WHITE-SIDED
1,42.90203,-65.4483,DOLPHINS (NS)
1,45.19779,-60.84824,SHARK-BASKING
2,42.84304,-64.87444,DOLPHINS (NS)
1,42.96856,-65.55178,SHARKS (NS)
1,43.13736,-65.06973,OCEAN SUNFISH
1,42.41154,-66.62284,WHALE-HUMPBACK
15,45.16188,-60.51123,WHALE-ATLANTIC PILOT
1,43.03518,-65.6256,CETACEAN (NS)
8,42.17381,-66.27426,DOLPHINS-WHITE-SIDED
1,45.20563,-60.89975,OCEAN SUNFISH
1,43.90321,-63.02436,OCEAN SUNFISH
2,43.0006,-62.60412,WHALE-HUMPBACK
1,42.33188,-66.89571,OCEAN SUNFISH
1,42.65249,-65.41587,WHALE-FIN
1,42.93799,-65.22665,SHARK-BASKING
1,42.75323,-64.20848,OCEAN SUNFISH
50,44.75626,-61.17812,DOLPHINS-COMMON
1,42.71808,-65.23729,WHALE-HUMPBACK
2,42.60539,-64.49371,WHALE-HUMPBACK
30,42.32704,-67.27415,DOLPHINS-WHITE-SIDED
35,42.79892,-63.24033,DOLPHINS-ATLANTIC BOTTLENOSE
1,43.41459,-63.57288,WHALE-FIN
1,42.87699,-65.16486,OCEAN SUNFISH
1,43.534,-63.7669,WHALE-FIN
100,42.08181,-66.41265,DOLPHINS-STRIPED
2,43.4408,-63.55596,WHALE-FIN
1,42.98736,-65.29299,WHALE-MINKE
20,42.91188,-63.59346,DOLPHINS-WHITE-SIDED
1,43.80178,-63.55892,OCEAN SUNFISH
1,43.95026,-63.49606,OCEAN SUNFISH
1,45.14762,-60.19251,WHALE-MINKE
1,45.11623,-60.66383,OCEAN SUNFISH
30,44.76161,-61.18627,DOLPHINS-COMMON
1,45.69195,-60.19703,OCEAN SUNFISH
1,42.10127,-66.59702,OCEAN SUNFISH
1,44.27074,-63.50128,OCEAN SUNFISH
50,44.76878,-61.19499,DOLPHINS (NS)
2,42.1381,-66.37874,DOLPHINS-STRIPED
1,42.18489,-66.35273,OCEAN SUNFISH
1,45.15135,-61.08032,OCEAN SUNFISH
1,43.60866,-64.1851,OCEAN SUNFISH
1,44.92479,-61.65897,OCEAN SUNFISH
1,43.6343,-63.93787,SEATURTLE-LEATHERBACK
1,43.85782,-63.49448,SHARK-BASKING
1,43.56376,-64.00235,OCEAN SUNFISH
1,45.80911,-60.03493,OCEAN SUNFISH
1,42.92642,-65.47661,OCEAN SUNFISH
1,42.86991,-63.31185,WHALE-HUMPBACK
1,42.34129,-66.26601,SHARKS (NS)
1,42.33237,-66.27016,CETACEAN (NS)
1,43.80247,-63.05899,OCEAN SUNFISH
1,42.25659,-66.11377,WHALE-MINKE
1,43.42699,-62.41678,OCEAN SUNFISH
1,46.510063,-63.486105,WHALE-ATLANTIC PILOT
2,42.12037,-66.98961,DOLPHINS-STRIPED
1,43.79077,-63.06665,OCEAN SUNFISH
1,43.56613,-64.00043,OCEAN SUNFISH
40,42.36813,-66.3825,DOLPHINS-STRIPED
1,44.5715,-66.568,WHALE-FIN
1,44.808666,-66.777333,WHALE-FIN
1,42.1352,-66.45315,BALEEN WHALE (NS)
1,43.96076,-63.04084,WHALE-FIN
1,44.89336,-62.02082,OCEAN SUNFISH
15,45.56,-59.721666,DOLPHINS-WHITE-SIDED
2,43.73409,-64.35317,CETACEAN (NS)
1,43.96932,-63.02079,OCEAN SUNFISH
1,42.95249,-65.62037,WHALE-MINKE
30,43.02403,-64.04901,DOLPHINS (NS)
1,43.83282,-63.03927,OCEAN SUNFISH
1,44.75777,-61.19659,OCEAN SUNFISH
1,43.97212,-63.82122,OCEAN SUNFISH
1,43.77478,-63.49319,OCEAN SUNFISH
1,42.89912,-64.42367,OCEAN SUNFISH
1,42.70721,-65.18345,WHALE-SEI
50,42.33067,-66.89545,DOLPHINS-WHITE-SIDED
5,42.78322,-64.04407,WHALE- LONG-FINNED PILOT
1,42.12159,-66.44588,OCEAN SUNFISH
13,44.113333,-58.836666,DOLPHINS-COMMON
2,43.11341,-64.87034,OCEAN SUNFISH
1,42.88287,-62.17933,CETACEAN (NS)
2,44.5865,-66.6675,WHALE-HUMPBACK
12,43.841666,-58.921666,DOLPHINS-WHITE-SIDED
20,43.84,-58.905,DOLPHINS-STRIPED
1,42.34946,-66.26897,OCEAN SUNFISH
2,45.370166,-64.403666,PORPOISE-HARBOUR
10,44.133333,-59.5,DOLPHINS-COMMON
1,44.23143,-63.21826,CETACEAN (NS)
1,42.19325,-66.34811,WHALE-MINKE
