individualCount,eventID,decimalLatitude,decimalLongitude,vernacularName
10,70146,44.6075,-66.462833,WHALE-RIGHT
10,23417,44.659166,-66.481166,WHALE-RIGHT
10,23414,44.605,-66.501833,WHALE-RIGHT
10,23416,44.665333,-66.479666,WHALE-RIGHT
10,23420,44.721666,-66.613333,WHALE-RIGHT
10,23419,44.685,-66.481666,WHALE-RIGHT
10,23412,44.544166,-66.537166,WHALE-RIGHT
10,23411,44.605666,-66.509,WHALE-RIGHT
10,11506,44.6925,-66.656166,WHALE-RIGHT
10,8507,44.721333,-66.421666,WHALE-RIGHT
10,7976,44.641666,-66.31,WHALE-RIGHT
10,8631,44.5555,-66.530333,WHALE-RIGHT
10,8617,44.639666,-66.4915,WHALE-RIGHT
10,8629,44.579833,-66.509833,WHALE-RIGHT
10,8632,44.5475,-66.5315,WHALE-RIGHT
10,8635,44.54,-66.529,WHALE-RIGHT
10,8628,44.593833,-66.499166,WHALE-RIGHT
10,8630,44.558666,-66.528333,WHALE-RIGHT
10,2822,44.687333,-66.455666,WHALE-RIGHT
10,3132,44.576666,-66.482666,WHALE-RIGHT
10,643,44.610166,-66.453333,WHALE-RIGHT
9,122594,47.746,-64.022,WHALE-RIGHT
9,89163,44.65,-66.575,WHALE-RIGHT
9,67884,44.674,-66.574166,WHALE-RIGHT
9,69791,44.746833,-66.421,WHALE-RIGHT
9,33243,44.687666,-66.4315,WHALE-RIGHT
9,7982,44.686666,-66.371666,WHALE-RIGHT
9,1756,44.5945,-66.5155,WHALE-RIGHT
9,8616,44.642666,-66.492,WHALE-RIGHT
9,8530,44.7035,-66.489333,WHALE-RIGHT
9,8544,44.6805,-66.494333,WHALE-RIGHT
9,647,44.6085,-66.451666,WHALE-RIGHT
8,134499,44.715,-66.5333,WHALE-RIGHT
8,19061,44.643333,-66.546,WHALE-RIGHT
8,19063,44.626666,-66.535666,WHALE-RIGHT
8,2597,44.692333,-66.468,WHALE-RIGHT
8,23407,44.605333,-66.5145,WHALE-RIGHT
8,23410,44.667,-66.439333,WHALE-RIGHT
8,67932,44.729,-66.451666,WHALE-RIGHT
8,67920,44.641666,-66.504666,WHALE-RIGHT
8,67903,44.720333,-66.531333,WHALE-RIGHT
8,67885,44.665333,-66.587,WHALE-RIGHT
8,69536,44.559,-66.501333,WHALE-RIGHT
8,69710,44.6405,-66.514333,WHALE-RIGHT
8,69878,44.611,-66.459333,WHALE-RIGHT
8,69998,44.5545,-66.5305,WHALE-RIGHT
8,69996,44.570166,-66.542166,WHALE-RIGHT
8,41951,44.396666,-66.426666,WHALE-RIGHT
8,41950,44.396666,-66.396666,WHALE-RIGHT
8,33244,44.689166,-66.427666,WHALE-RIGHT
8,118672,44.652,-66.587,WHALE-RIGHT
8,23409,44.6585,-66.4395,WHALE-RIGHT
8,23408,44.612333,-66.449833,WHALE-RIGHT
8,19062,44.633333,-66.537833,WHALE-RIGHT
8,7983,44.67,-66.371666,WHALE-RIGHT
8,7438,44.664833,-66.496833,WHALE-RIGHT
8,8696,44.625,-66.43,WHALE-RIGHT
8,8662,44.668,-66.447,WHALE-RIGHT
8,8626,44.606833,-66.490166,WHALE-RIGHT
8,8607,44.642666,-66.495166,WHALE-RIGHT
8,8583,44.605666,-66.504,WHALE-RIGHT
8,8625,44.611166,-66.487833,WHALE-RIGHT
8,8575,44.639333,-66.452333,WHALE-RIGHT
8,2598,44.694666,-66.466833,WHALE-RIGHT
8,649,44.611166,-66.448166,WHALE-RIGHT
8,642,44.61,-66.453166,WHALE-RIGHT
8,603,44.645833,-66.423666,WHALE-RIGHT
7,89168,44.566666,-66.5,WHALE-RIGHT
7,143995,41.80898,-70.23441,WHALE-RIGHT
7,39503,44.6205,-66.508333,WHALE-RIGHT
7,648,44.609666,-66.450166,WHALE-RIGHT
7,23405,44.6505,-66.504166,WHALE-RIGHT
7,122638,42.34,-66.45,WHALE-RIGHT
7,122643,42.27,-66.3,WHALE-RIGHT
7,89146,44.683333,-66.583333,WHALE-RIGHT
7,63158,44.616666,-66.5,WHALE-RIGHT
7,69501,44.566,-66.488833,WHALE-RIGHT
7,69792,44.747,-66.4335,WHALE-RIGHT
7,39469,44.583,-66.446666,WHALE-RIGHT
7,23406,44.667166,-66.4755,WHALE-RIGHT
7,16002,41.866666,-65.766666,WHALE-RIGHT
7,19059,44.61,-66.4665,WHALE-RIGHT
7,19060,44.643333,-66.517,WHALE-RIGHT
7,7771,44.74,-66.318333,WHALE-RIGHT
7,8661,44.647,-66.422,WHALE-RIGHT
7,8653,44.618833,-66.445666,WHALE-RIGHT
7,8663,44.668333,-66.445833,WHALE-RIGHT
7,8614,44.645,-66.494666,WHALE-RIGHT
7,8571,44.632166,-66.481666,WHALE-RIGHT
7,8584,44.601666,-66.508333,WHALE-RIGHT
7,8578,44.655333,-66.477833,WHALE-RIGHT
7,8543,44.678666,-66.491166,WHALE-RIGHT
7,8555,44.6425,-66.493166,WHALE-RIGHT
7,8540,44.6685,-66.478333,WHALE-RIGHT
7,8534,44.6875,-66.479833,WHALE-RIGHT
7,8533,44.699166,-66.489166,WHALE-RIGHT
7,6713,44.683333,-66.383333,WHALE-RIGHT
7,2818,44.678833,-66.456166,WHALE-RIGHT
7,2819,44.681166,-66.456333,WHALE-RIGHT
7,2601,44.703833,-66.464333,WHALE-RIGHT
7,2430,44.619833,-66.54,WHALE-RIGHT
7,1833,44.577,-66.590166,WHALE-RIGHT
7,646,44.607833,-66.4525,WHALE-RIGHT
7,651,44.612833,-66.446166,WHALE-RIGHT
7,615,44.6065,-66.442,WHALE-RIGHT
7,604,44.652,-66.416166,WHALE-RIGHT
7,596,44.633666,-66.432166,WHALE-RIGHT
7,581,44.635333,-66.450166,WHALE-RIGHT
6,19058,44.603333,-66.490833,WHALE-RIGHT
6,8546,44.692,-66.491166,WHALE-RIGHT
6,23402,44.620333,-66.628166,WHALE-RIGHT
6,23399,44.584166,-66.651333,WHALE-RIGHT
6,122650,42.216667,-66.308333,WHALE-RIGHT
6,121696,43.698333,-67.288333,WHALE-RIGHT
6,122158,42.134167,-66.115,WHALE-RIGHT
6,121682,47.93483,-63.90874,WHALE-RIGHT
6,121694,48.14626,-63.60973,WHALE-RIGHT
6,82301,44.566666,-66.45,WHALE-RIGHT
6,67909,44.689666,-66.5075,WHALE-RIGHT
6,67890,44.709666,-66.540166,WHALE-RIGHT
6,67873,44.597166,-66.473833,WHALE-RIGHT
6,67894,44.710333,-66.5525,WHALE-RIGHT
6,67891,44.713666,-66.5495,WHALE-RIGHT
6,69447,44.593833,-66.5575,WHALE-RIGHT
6,69570,44.640166,-66.484,WHALE-RIGHT
6,69500,44.5655,-66.499666,WHALE-RIGHT
6,69535,44.564166,-66.508333,WHALE-RIGHT
6,69599,44.644,-66.4835,WHALE-RIGHT
6,69597,44.632833,-66.484166,WHALE-RIGHT
6,69761,44.714333,-66.442666,WHALE-RIGHT
6,69899,44.578,-66.513333,WHALE-RIGHT
6,69997,44.561333,-66.535333,WHALE-RIGHT
6,69975,44.573833,-66.533333,WHALE-RIGHT
6,69976,44.567166,-66.5365,WHALE-RIGHT
6,70148,44.586666,-66.48,WHALE-RIGHT
6,70118,44.578833,-66.520833,WHALE-RIGHT
6,41957,44.4645,-66.500833,WHALE-RIGHT
6,23403,44.633333,-66.661,WHALE-RIGHT
6,23401,44.631166,-66.511666,WHALE-RIGHT
6,23400,44.561666,-66.495666,WHALE-RIGHT
6,23404,44.673333,-66.445,WHALE-RIGHT
6,11519,44.602166,-66.591666,WHALE-RIGHT
6,2612,44.710833,-66.4445,WHALE-RIGHT
6,8370,42.216666,-66.283333,WHALE-RIGHT
6,10678,44.18,-66.845,WHALE-RIGHT
6,7769,44.738333,-66.338333,WHALE-RIGHT
6,7776,44.688333,-66.333333,WHALE-RIGHT
6,8694,44.643333,-66.441333,WHALE-RIGHT
6,8651,44.607166,-66.465166,WHALE-RIGHT
6,8657,44.608333,-66.414166,WHALE-RIGHT
6,8634,44.5445,-66.5305,WHALE-RIGHT
6,8650,44.598166,-66.485166,WHALE-RIGHT
6,8535,44.686,-67.311833,WHALE-RIGHT
